user,risk_level,weighted_score,Consensus_Percentage,Explanation
LUR0896,Low,0.0,0.0,No significant behavioral anomalies detected
BHW0458,Low,0.0,0.0,High number of active working days
SMY0792,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
AJD0074,Low,0.0,0.0,High weekend activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HDH0928,Low,0.0,0.0,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HXL0968,Low,0.0,0.0,Excessive device activity | Frequent file access
CFG0959,Low,0.0,0.0,High number of active working days
AHC0142,Low,0.0,0.0,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
WAB0143,Low,0.0,0.0,No significant behavioral anomalies detected
WBC0315,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
NKH0807,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
AHM0410,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
SJO0209,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ONL0276,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
KBL0260,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HJB0742,Low,0.0,0.0,High web browsing activity | Large volume of overall activity
PMC0328,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
SVL0803,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JXH0493,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
LJJ0905,Low,0.0,0.0,High number of active working days
RAS0432,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
TQS0212,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MIC0726,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MCT0720,Low,0.0,0.0,High number of active working days
MBG0438,Low,0.0,0.0,No significant behavioral anomalies detected
DLS0383,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CCL0068,Low,0.0,0.0,Excessive device activity | Frequent file access
GKO0078,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
KVS0425,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
IIA0092,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
GRM0868,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ELH0960,Low,0.0,0.0,High number of active working days
ILR0304,Low,0.0,0.0,High number of active working days
RGG0064,Low,0.0,0.0,No significant behavioral anomalies detected
SSG0250,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
VFM0814,Low,0.0,0.0,High after-hours activity
FKB0163,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
FRR0832,Low,0.0,0.0,High number of active working days
RGN0408,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ABH0663,Low,0.0,0.0,High number of active working days
HCC0344,Low,0.0,0.0,High number of active working days
WGR0833,Low,0.0,0.0,High number of active working days
IJM0139,Low,0.0,0.0,High number of active working days
BTN0061,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
SHW0578,Low,0.0,0.0,High number of active working days
DJB0159,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ZSK0258,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JRH0455,Low,0.0,0.0,No significant behavioral anomalies detected
AAF0535,Low,0.0,0.0,Excessive device activity
CGA0629,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
EBC0390,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
PDW0259,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
TCD0009,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CSP0197,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
MJM0510,Low,0.0,0.0,High number of active working days
BWP0202,Low,0.0,0.0,High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
DCC0160,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
MAW0166,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JLW0053,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
CFW0264,Low,0.0,0.0,No significant behavioral anomalies detected
AIM0627,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CJF0802,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
PAD0773,Low,0.0,0.0,Frequent file access | High number of active working days
HKI0171,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SLT0907,Low,0.0,0.0,No significant behavioral anomalies detected
MCS0035,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ORM0669,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JIG0128,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
JPW0741,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
IMG0320,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ESR0693,Low,0.0,0.0,High after-hours activity | Frequent file access
ALB0892,Low,0.0,0.0,High weekend activity
APG0307,Low,0.0,0.0,High number of active working days
IBP0883,Low,0.0,0.0,High after-hours activity | High number of active working days
OJK0233,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
FDE0117,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
MSD0939,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ANP0555,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
TOR0193,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
RNL0695,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
TDJ0998,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
IJM0776,Low,0.0,0.0,Excessive device activity
RIH0777,Low,0.0,0.0,High number of active working days
IUY0279,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
WTR0563,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JMH0543,Low,0.0,0.0,No significant behavioral anomalies detected
CBG0398,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
CYA0506,Low,0.0,0.0,No significant behavioral anomalies detected
QJR0688,Low,0.0,0.0,High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HAM0985,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
AKH0758,Low,0.0,0.0,High number of active working days
ADF0397,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
AAL0706,Low,0.0,0.0,High number of active working days
BNR0965,Low,0.0,0.0,High number of active working days
MJB0588,Low,0.0,0.0,High number of active working days
SBD0913,Low,0.0,0.0,High number of active working days
ORB0473,Low,0.0,0.0,High number of active working days
AMH0464,Low,0.0,0.0,High number of active working days
CLH0703,Low,0.0,0.0,High number of active working days
TLH0648,Low,0.0,0.0,High after-hours activity | High number of active working days
KRM0541,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
GHL0460,Low,0.0,0.0,No significant behavioral anomalies detected
PRM0740,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
GQF0659,Low,0.0,0.0,High after-hours activity | High number of active working days
AAV0450,Low,0.0,0.0,High number of active working days
MLG0475,Low,0.0,0.0,High number of active working days
PNH0761,Low,0.0,0.0,Frequent file access | High number of active working days
SDO0170,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
TEB0251,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MAH0864,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ETR0428,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MKP0861,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CFM0767,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
NSS0876,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CJK0200,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ALD0544,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
PDH0716,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
CCW0031,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
BDV0168,Low,0.0,0.0,No significant behavioral anomalies detected
CWR0502,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
CJC0494,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MAE0331,Low,0.0,0.0,High number of active working days
ECL0930,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
AQD0820,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
MDM0976,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
XBN0229,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
LDB0090,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
TIW0299,Low,0.0,0.0,High number of active working days
KJG0910,Low,0.0,0.0,High number of active working days
SMH0291,Low,0.0,0.0,High weekend activity | High number of active working days
JCR0921,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
DLF0377,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HMM0108,Low,0.0,0.0,No significant behavioral anomalies detected
OMS0101,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CJH0702,Low,0.0,0.0,High number of active working days
CTR0697,Low,0.0,0.0,High number of active working days
CCC0393,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
BVN0514,Low,0.0,0.0,No significant behavioral anomalies detected
LTS0860,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
IAR0694,Low,0.0,0.0,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
WVB0539,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
KKC0683,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
NUL0471,Low,0.0,0.0,High number of active working days
AMD0077,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
WAS0254,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
DIC0988,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
SDB0106,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
BIS0247,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
FIR0920,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
ESH0135,Low,0.0,0.0,High number of active working days
UCH0519,Low,0.0,0.0,No significant behavioral anomalies detected
BEH0615,Low,0.0,0.0,Excessive device activity | High web browsing activity | Large volume of overall activity | High number of active working days
RMS0266,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
AWM0764,Low,0.0,0.0,High number of active working days
AJH0175,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
JML0909,Low,0.0,0.0,High number of active working days
HIW0536,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
BTS0011,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CCH0182,Low,0.0,0.0,High number of active working days
KBB0189,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JSA0775,Low,0.0,0.0,High number of active working days
ABC0253,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RYB0718,Low,0.0,0.0,High number of active working days
EHD0584,Low,0.0,0.0,No significant behavioral anomalies detected
TDG0962,Low,0.0,0.0,High number of active working days
AJP0723,Low,0.0,0.0,High number of active working days
DIB0081,Low,0.0,0.0,Excessive device activity | Frequent file access
BCR0581,Low,0.0,0.0,High number of active working days
ILH0958,Low,0.0,0.0,Frequent file access | High number of active working days
MSG0839,Low,0.0,0.0,High number of active working days
ROB0272,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MBJ0312,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
GCC0945,Low,0.0,0.0,High number of active working days
IHK0841,Low,0.0,0.0,High number of active working days
SLP0762,Low,0.0,0.0,High number of active working days
WDV0573,Low,0.0,0.0,High number of active working days
LDG0459,Low,0.0,0.0,Frequent file access | High number of active working days
JHP0583,Low,0.0,0.0,High weekend activity | Excessive device activity | Frequent file access | High number of active working days
JFC0557,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
JOL0024,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MVF0594,Low,0.0,0.0,High number of active working days
DSB0731,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
UJC0737,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
IBB0696,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
RRP0568,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
NHH0185,Low,0.0,0.0,High number of active working days
OSH0655,Low,0.0,0.0,High after-hours activity | High number of active working days
AOB0019,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HAH0248,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
WBC0192,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SGB0140,Low,0.0,0.0,High number of active working days
HTF0641,Low,0.0,0.0,High after-hours activity | High number of active working days
SSS0345,Low,0.0,0.0,High number of active working days
CNM0800,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SMB0804,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
VMJ0147,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
AKC0924,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
IIL0513,Low,0.0,0.0,High weekend activity | High number of active working days
RFP0380,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JFC0757,Low,0.0,0.0,High number of active working days
AJL0462,Low,0.0,0.0,High number of active working days
RAM0447,Low,0.0,0.0,High weekend activity | High number of active working days
JKJ0698,Low,0.0,0.0,High weekend activity | High number of active working days
TAP0551,Low,0.0,0.0,No significant behavioral anomalies detected
AOK0844,Low,0.0,0.0,High after-hours activity | High weekend activity | Excessive device activity | Frequent file access | High number of active working days
PTH0830,Low,0.0,0.0,High after-hours activity | High weekend activity | High number of active working days
HKF0831,Low,0.0,0.0,High number of active working days
CCH0685,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
FWM0707,Low,0.0,0.0,High number of active working days
DOL0332,Low,0.0,0.0,High number of active working days
IMP0530,Low,0.0,0.0,High number of active working days
CAB0388,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HFB0347,Low,0.0,0.0,Frequent file access
GQP0743,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ANT0430,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
UAD0771,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
JRF0835,Low,0.0,0.0,High number of active working days
PGC0066,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
DVM0265,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CMW0783,Low,0.0,0.0,High number of active working days
JCR0289,Low,0.0,0.0,High number of active working days
SJC0333,Low,0.0,0.0,High number of active working days
GZB0469,Low,0.0,0.0,High number of active working days
IJR0825,Low,0.0,0.0,High number of active working days
OCS0865,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
LLV0602,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ZJE0857,Low,0.0,0.0,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
MKS0204,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SHR0334,Low,0.0,0.0,High number of active working days
ASL0378,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RHO0732,Low,0.0,0.0,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
SDF0017,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
TTD1000,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
EPW0434,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
LHL0309,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
KRL0062,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MAD0496,Low,0.0,0.0,High weekend activity
NHE0919,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
BCB0679,Low,0.0,0.0,No significant behavioral anomalies detected
CMM0487,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MIL0255,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
WNB0908,Low,0.0,0.0,High number of active working days
ADC0391,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
IYB0918,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
MKW0441,Low,0.0,0.0,Excessive device activity | High number of active working days
MIB0904,Low,0.0,0.0,High number of active working days
SGS0268,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JJB0127,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
DJS0682,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
EZT0640,Low,0.0,0.0,High after-hours activity | High number of active working days
PIS0522,Low,0.0,0.0,High number of active working days
AJR0932,Low,0.0,0.0,No significant behavioral anomalies detected
ASG0692,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
NWT0098,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity
SBH0537,Low,0.0,0.0,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
DVW0103,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
YWW0660,Low,0.0,0.0,High after-hours activity
EMB0531,Low,0.0,0.0,High number of active working days
NJC0705,Low,0.0,0.0,High number of active working days
MHH0180,Low,0.0,0.0,High weekend activity
RCP0785,Low,0.0,0.0,High number of active working days
SAB0781,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
NSC0597,Low,0.0,0.0,High number of active working days
LAF0991,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
NRF0137,Low,0.0,0.0,High number of active working days
TAC0300,Low,0.0,0.0,High number of active working days
JKF0465,Low,0.0,0.0,High weekend activity | High number of active working days
TPH0474,Low,0.0,0.0,High number of active working days
JMK0099,Low,0.0,0.0,High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
JKB0126,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
HKR0628,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
GOK0238,Low,0.0,0.0,No significant behavioral anomalies detected
KSH0569,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JCR0770,Low,0.0,0.0,High number of active working days
KCS0173,Low,0.0,0.0,Excessive device activity | High web browsing activity | Large volume of overall activity | High number of active working days
SLB0049,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CJP0952,Low,0.0,0.0,High number of active working days
YEV0793,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
KPC0073,Low,0.0,0.0,No significant behavioral anomalies detected
CCR0863,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
PLH0862,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
LHB0606,Low,0.0,0.0,No significant behavioral anomalies detected
QNF0205,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
KAL0395,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
CRP0456,Low,0.0,0.0,High number of active working days
CBG0490,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MCJ0324,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
KDT0346,Low,0.0,0.0,High number of active working days
DPM0423,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
BBH0810,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
NMF0780,Low,0.0,0.0,High number of active working days
MES0407,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HDD0789,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JAD0609,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ENL0100,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
LMF0980,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
BTL0226,Low,0.0,0.0,High after-hours activity
RNP0211,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
RMW0542,Low,0.0,0.0,Excessive device activity
FEB0306,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
FXF0957,Low,0.0,0.0,High number of active working days
SNS0129,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CNB0900,Low,0.0,0.0,High number of active working days
AOS0987,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
LHN0151,Low,0.0,0.0,High number of active working days
MPT0376,Low,0.0,0.0,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
TNM0961,Low,0.0,0.0,Excessive device activity | Frequent file access
IJM0444,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
TEM0093,Low,0.0,0.0,No significant behavioral anomalies detected
UBF0645,Low,0.0,0.0,High after-hours activity | High number of active working days
HWW0436,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
FPC0954,Low,0.0,0.0,High number of active working days
GNZ0953,Low,0.0,0.0,High number of active working days
HKB0418,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JCV0245,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CEL0561,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
TRK0914,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
IUB0565,Low,0.0,0.0,Excessive device activity | Frequent file access
MDH0580,Low,0.0,0.0,Excessive device activity | Frequent file access
GJD0298,Low,0.0,0.0,High number of active working days
KJW0416,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
UCS0227,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
ILC0838,Low,0.0,0.0,High number of active working days
IWM0816,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
TSB0437,Low,0.0,0.0,High number of active working days
KNB0022,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
IBM0671,Low,0.0,0.0,High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
QPM0727,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CSB0080,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
NNA0610,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MLD0755,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RAG0275,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
GLR0975,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
PKB0429,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HPR0585,Low,0.0,0.0,High number of active working days
MVB0515,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
RUM0880,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
BEC0505,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
LEM0605,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RJM0381,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RRA0938,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
DTP0379,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RVC0232,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
LJR0523,Low,0.0,0.0,No significant behavioral anomalies detected
BTR0403,Low,0.0,0.0,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
COM0321,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
BSH0445,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CIG0052,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ETR0177,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
AJN0607,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
VCY0751,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ILJ0526,Low,0.0,0.0,High weekend activity | Excessive device activity | Frequent file access | High number of active working days
KJS0618,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
BJH0354,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
WRM0963,Low,0.0,0.0,No significant behavioral anomalies detected
ASD0577,Low,0.0,0.0,High number of active working days
NOB0181,Low,0.0,0.0,High weekend activity | Excessive device activity | Frequent file access | High number of active working days
JJH0292,Low,0.0,0.0,High number of active working days
CQW0652,Low,0.0,0.0,High after-hours activity | Excessive device activity | Frequent file access
MBW0809,Low,0.0,0.0,No significant behavioral anomalies detected
KKS0119,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SBN0971,Low,0.0,0.0,High weekend activity | Frequent file access | High number of active working days
ONW0083,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JRL0574,Low,0.0,0.0,High number of active working days
CTW0500,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JMW0638,Low,0.0,0.0,High after-hours activity | High number of active working days
GDF0704,Low,0.0,0.0,High number of active working days
LDM0587,Low,0.0,0.0,High number of active working days
WPE0538,Low,0.0,0.0,High after-hours activity | High number of active working days
TJG0582,Low,0.0,0.0,High number of active working days
ICS0956,Low,0.0,0.0,No significant behavioral anomalies detected
